product_name,price_raw,product_url,scraped_at,price_value,currency
КОРОТКОЕ ПЛАТЬЕ АСИММЕТРИЧНОГО КРОЯ СО СТРАЗАМИ,"T 75 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%B0%D1%81%D0%B8%D0%BC%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D1%80%D0%BE%D1%8F-%D1%81%D0%BE-%D1%81%D1%82%D1%80%D0%B0%D0%B7%D0%B0%D0%BC%D0%B8-p04772259.html,2025-12-02T12:49:07,75990.0,KZT
КОРОТКОЕ БАРХАТНОЕ ПЛАТЬЕ С ПОДПЛЕЧНИКАМИ,"T 24 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%B1%D0%B0%D1%80%D1%85%D0%B0%D1%82%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%BF%D0%BE%D0%B4%D0%BF%D0%BB%D0%B5%D1%87%D0%BD%D0%B8%D0%BA%D0%B0%D0%BC%D0%B8-p03152285.html,2025-12-02T12:49:07,24990.0,KZT
ВЫШИТОЕ ПЛАТЬЕ ZW COLLECTION LIMITED EDITION,"T 75 990,00",https://www.zara.com/kz/ru/%D0%B2%D1%8B%D1%88%D0%B8%D1%82%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-zw-collection-limited-edition-p07521288.html,2025-12-02T12:49:07,75990.0,KZT
ПЛАТЬЕ МИДИ С ПАЙЕТКАМИ И БАХРОМОЙ — ZW COLLECTION LIMITED EDITION,"T 79 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BC%D0%B8%D0%B4%D0%B8-%D1%81-%D0%BF%D0%B0%D0%B8%D0%B5%D1%82%D0%BA%D0%B0%D0%BC%D0%B8-%D0%B8-%D0%B1%D0%B0%D1%85%D1%80%D0%BE%D0%BC%D0%BE%D0%B8-%E2%80%94-zw-collection-limited-edition-p04831241.html,2025-12-02T12:49:07,79990.0,KZT
АТЛАСНОЕ ПЛАТЬЕ С КРУЖЕВОМ — ZW COLLECTION LIMITED EDITION,"T 55 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%82%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%BA%D1%80%D1%83%D0%B6%D0%B5%D0%B2%D0%BE%D0%BC-%E2%80%94-zw-collection-limited-edition-p05919214.html,2025-12-02T12:49:07,55990.0,KZT
АТЛАСНОЕ ПЛАТЬЕ СО СБОРКАМИ,"T 65 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%82%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81%D0%BE-%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B0%D0%BC%D0%B8-p05919625.html,2025-12-02T12:49:07,65990.0,KZT
КОРОТКОЕ КОМБИНИРОВАННОЕ ПЛАТЬЕ ИЗ СЕТЧАТОЙ ТКАНИ,"T 24 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%BA%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%B8%D0%B7-%D1%81%D0%B5%D1%82%D1%87%D0%B0%D1%82%D0%BE%D0%B8-%D1%82%D0%BA%D0%B0%D0%BD%D0%B8-p03067260.html,2025-12-02T12:49:07,24990.0,KZT
БАРХАТНОЕ ПЛАТЬЕ АСИММЕТРИЧНОГО КРОЯ С КРУЖЕВОМ,"T 28 990,00",https://www.zara.com/kz/ru/%D0%B1%D0%B0%D1%80%D1%85%D0%B0%D1%82%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%B0%D1%81%D0%B8%D0%BC%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D1%80%D0%BE%D1%8F-%D1%81-%D0%BA%D1%80%D1%83%D0%B6%D0%B5%D0%B2%D0%BE%D0%BC-p09838242.html,2025-12-02T12:49:07,28990.0,KZT
КОРОТКОЕ ПЛАТЬЕ С ПОДПЛЕЧНИКАМИ И СТРАЗАМИ,"T 75 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%BF%D0%BE%D0%B4%D0%BF%D0%BB%D0%B5%D1%87%D0%BD%D0%B8%D0%BA%D0%B0%D0%BC%D0%B8-%D0%B8-%D1%81%D1%82%D1%80%D0%B0%D0%B7%D0%B0%D0%BC%D0%B8-p04772258.html,2025-12-02T12:49:07,75990.0,KZT
КОРОТКОЕ ПЛАТЬЕ ИЗ СЕТЧАТОЙ ТКАНИ СО СТРАЗАМИ И ЭФФЕКТОМ НАКИДКИ,"T 75 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%B8%D0%B7-%D1%81%D0%B5%D1%82%D1%87%D0%B0%D1%82%D0%BE%D0%B8-%D1%82%D0%BA%D0%B0%D0%BD%D0%B8-%D1%81-%D0%B1%D0%BB%D0%B5%D1%81%D1%82%D0%BA%D0%B0%D0%BC%D0%B8-%D0%B8-%D1%8D%D1%84%D1%84%D0%B5%D0%BA%D1%82%D0%BE%D0%BC-%D0%BD%D0%B0%D0%BA%D0%B8%D0%B4%D0%BA%D0%B8-p04772254.html,2025-12-02T12:49:07,75990.0,KZT
АТЛАСНОЕ ПЛАТЬЕ С ПРИНТОМ «ПИТЕР ПЭН» HARRY LAMBERT FOR ZARA X DISNEY,"T 55 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%82%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%BF%D1%80%D0%B8%D0%BD%D1%82%D0%BE%D0%BC--%D0%BF%D0%B8%D1%82%D0%B5%D1%80-%D0%BF%D1%8D%D0%BD--harry-lambert-for-zara-x-disney-p04772285.html,2025-12-02T12:49:07,55990.0,KZT
КОРОТКОЕ ДЖИНСОВОЕ ПЛАТЬЕ Z1975 С РЕМНЕМ,"T 31 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%B4%D0%B6%D0%B8%D0%BD%D1%81%D0%BE%D0%B2%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-z1975-%D1%81-%D1%80%D0%B5%D0%BC%D0%BD%D0%B5%D0%BC-p09288058.html,2025-12-02T12:49:07,31990.0,KZT
АСИММЕТРИЧНОЕ ПЛАТЬЕ-КОМБИНАЦИЯ ИЗ КОЛЛЕКЦИИ ZW,"T 31 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%81%D0%B8%D0%BC%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BA%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B0%D1%86%D0%B8%D1%8F-%D0%B8%D0%B7-%D0%BA%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D0%B8-zw-p06895051.html,2025-12-02T12:49:07,31990.0,KZT
АТЛАСНОЕ ПЛАТЬЕ С КРУЖЕВОМ — ZW COLLECTION,"T 39 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%82%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%BA%D1%80%D1%83%D0%B6%D0%B5%D0%B2%D0%BE%D0%BC-%E2%80%94-zw-collection-p05919201.html,2025-12-02T12:49:07,39990.0,KZT
АТЛАСНОЕ АСИММЕТРИЧНОЕ ПЛАТЬЕ С КРУЖЕВОМ ZW COLLECTION,"T 39 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%82%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D0%B5-%D0%B0%D1%81%D0%B8%D0%BC%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%BA%D1%80%D1%83%D0%B6%D0%B5%D0%B2%D0%BE%D0%BC-%E2%80%94-zw-collection-p04772113.html,2025-12-02T12:49:07,39990.0,KZT
ПЛАТЬЕ ИЗ СМЕСОВОЙ ШЕРСТИ С КРУЖЕВОМ — ZW COLLECTION LIMITED EDITION,"T 65 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%B8%D0%B7-%D1%81%D0%BC%D0%B5%D1%81%D0%BE%D0%B2%D0%BE%D0%B8-%D1%88%D0%B5%D1%80%D1%81%D1%82%D0%B8-%D1%81-%D0%BA%D1%80%D1%83%D0%B6%D0%B5%D0%B2%D0%BE%D0%BC-%E2%80%94-zw-collection-limited-edition-p09737929.html,2025-12-02T12:49:07,65990.0,KZT
КОРОТКОЕ ПЛАТЬЕ НА БРЕТЕЛЯХ С ОБЪЕМНОЙ ЮБКОЙ,"T 28 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BD%D0%B0-%D0%B1%D1%80%D0%B5%D1%82%D0%B5%D0%BB%D1%8F%D1%85-%D1%81-%D0%BE%D0%B1%D1%8A%D0%B5%D0%BC%D0%BD%D0%BE%D0%B8-%D1%8E%D0%B1%D0%BA%D0%BE%D0%B8-p09542150.html,2025-12-02T12:49:07,28990.0,KZT
ПЛАТЬЕ МИДИ СО СБОРКАМИ — ZW COLLECTION,"T 39 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BC%D0%B8%D0%B4%D0%B8-%D1%81%D0%BE-%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B0%D0%BC%D0%B8-%E2%80%94-zw-collection-p09482872.html,2025-12-02T12:49:07,39990.0,KZT
АТЛАСНОЕ ПЛАТЬЕ С ЗАВЯЗКАМИ — ZW COLLECTION,"T 49 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%82%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%B7%D0%B0%D0%B2%D1%8F%D0%B7%D0%BA%D0%B0%D0%BC%D0%B8-%E2%80%94-zw-collection-p09365100.html,2025-12-02T12:49:07,49990.0,KZT
ПЛАТЬЕ МИДИ СО СБОРКАМИ — ZW COLLECTION,"T 55 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BC%D0%B8%D0%B4%D0%B8-%D1%81%D0%BE-%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B0%D0%BC%D0%B8-%E2%80%94-zw-collection-p09482872.html,2025-12-02T12:49:07,55990.0,KZT
КОМБИНИРОВАННОЕ ПЛАТЬЕ СО СБОРКАМИ,"T 22 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81%D0%BE-%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B0%D0%BC%D0%B8-p00264207.html,2025-12-02T12:49:07,22990.0,KZT
КОРОТКОЕ БАРХАТНОЕ ПЛАТЬЕ С БАХРОМОЙ,"T 24 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%B1%D0%B0%D1%80%D1%85%D0%B0%D1%82%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%B1%D0%B0%D1%85%D1%80%D0%BE%D0%BC%D0%BE%D0%B8-p09643986.html,2025-12-02T12:49:07,24990.0,KZT
ПЛАТЬЕ МИДИ С ВЫРЕЗАМИ И СТРАЗАМИ,"T 24 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BC%D0%B8%D0%B4%D0%B8-%D1%81-%D0%B2%D1%8B%D1%80%D0%B5%D0%B7%D0%BE%D0%BC-%D0%B8-%D1%83%D0%BA%D1%80%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC-p01223632.html,2025-12-02T12:49:07,24990.0,KZT
"ПЛАТЬЕ СО СБОРКАМИ, ВЫРЕЗАМИ И БЛЕСТКАМИ","T 31 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81%D0%BE-%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B0%D0%BC%D0%B8--%D0%B2%D1%8B%D1%80%D0%B5%D0%B7%D0%B0%D0%BC%D0%B8-%D0%B8-%D0%B1%D0%BB%D0%B5%D1%81%D1%82%D0%BA%D0%B0%D0%BC%D0%B8-p04772229.html,2025-12-02T12:49:07,31990.0,KZT
КОРОТКОЕ ПЛАТЬЕ НА БРЕТЕЛЯХ ОБЪЕМНОГО КРОЯ,"T 28 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BD%D0%B0-%D0%B1%D1%80%D0%B5%D1%82%D0%B5%D0%BB%D1%8F%D1%85-%D0%BE%D0%B1%D1%8A%D0%B5%D0%BC%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D1%80%D0%BE%D1%8F-p09236150.html,2025-12-02T12:49:07,28990.0,KZT
КОРОТКОЕ ПЛАТЬЕ СО СКЛАДКАМИ И КАРМАНАМИ,"T 28 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81%D0%BE-%D1%81%D0%BA%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%D0%BC%D0%B8-%D0%B8-%D0%BA%D0%B0%D1%80%D0%BC%D0%B0%D0%BD%D0%B0%D0%BC%D0%B8-p09747777.html,2025-12-02T12:49:07,28990.0,KZT
ПЛАТЬЕ ИЗ МЯГКОЙ ТКАНИ С РЕМНЕМ,"T 24 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%B8%D0%B7-%D0%BC%D1%8F%D0%B3%D0%BA%D0%BE%D0%B8-%D1%82%D0%BA%D0%B0%D0%BD%D0%B8-%D1%81-%D1%80%D0%B5%D0%BC%D0%BD%D0%B5%D0%BC-p00264462.html,2025-12-02T12:49:07,24990.0,KZT
МЯГКОЕ ПЛАТЬЕ С ПОЯСОМ,"T 24 990,00",https://www.zara.com/kz/ru/%D0%BC%D1%8F%D0%B3%D0%BA%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%BF%D0%BE%D1%8F%D1%81%D0%BE%D0%BC-p05039859.html,2025-12-02T12:49:07,24990.0,KZT
ПЛАТЬЕ МИДИ СО СКЛАДКАМИ — ZW COLLECTION,"T 42 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BC%D0%B8%D0%B4%D0%B8-%D1%81%D0%BE-%D1%81%D0%BA%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%D0%BC%D0%B8-%E2%80%94-zw-collection-p04333241.html,2025-12-02T12:49:07,42990.0,KZT
МИНИ-ПЛАТЬЕ ХАЛТЕР С УЗЛОМ,"T 24 990,00",https://www.zara.com/kz/ru/%D0%BC%D0%B8%D0%BD%D0%B8-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%85%D0%B0%D0%BB%D1%82%D0%B5%D1%80-%D1%81-%D1%83%D0%B7%D0%BB%D0%BE%D0%BC-p03897111.html,2025-12-02T12:49:07,24990.0,KZT
ПЛАТЬЕ МИДИ ИЗ МАРЛИ,"T 28 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BC%D0%B8%D0%B4%D0%B8-%D0%B8%D0%B7-%D0%BC%D0%B0%D1%80%D0%BB%D0%B8-p00881320.html,2025-12-02T12:49:07,28990.0,KZT
КОМБИНИРОВАННОЕ ПЛАТЬЕ-МИДИ,"T 31 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BC%D0%B8%D0%B4%D0%B8-p05029116.html,2025-12-02T12:49:07,31990.0,KZT
КОРОТКОЕ ПЛАТЬЕ С ОБЪЕМНЫМИ РУКАВАМИ,"T 28 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%BE%D0%B1%D1%8A%D0%B5%D0%BC%D0%BD%D1%8B%D0%BC%D0%B8-%D1%80%D1%83%D0%BA%D0%B0%D0%B2%D0%B0%D0%BC%D0%B8-p09782536.html,2025-12-02T12:49:07,28990.0,KZT
АСИММЕТРИЧНОЕ АТЛАСНОЕ ПЛАТЬЕ — ZW COLLECTION,"T 45 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%81%D0%B8%D0%BC%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%BD%D0%BE%D0%B5-%D0%B0%D1%82%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%E2%80%94-zw-collection-p08073126.html,2025-12-02T12:49:07,45990.0,KZT
ПЛАТЬЕ ХАЛТЕР С АНИМАЛИСТИЧЕСКИМ ПРИНТОМ — ZW COLLECTION,"T 49 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%85%D0%B0%D0%BB%D1%82%D0%B5%D1%80-%D1%81-%D0%B0%D0%BD%D0%B8%D0%BC%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%BC-%D0%BF%D1%80%D0%B8%D0%BD%D1%82%D0%BE%D0%BC-%E2%80%94-zw-collection-p08753008.html,2025-12-02T12:49:07,49990.0,KZT
